Background,Objective,Methods,Results,Conclusion,Keywords,Authors,Year,PDF Link,Title
"Technology Acceptance Model (TAM) and Expectation-Confirmation Model (ECM) integration model are commonly used to analyze the intention to use technology in education. Moreover, the ease of implementation causes various external factors influencing technology acceptance to continue growing. However, limited research focuses on the use of TAM and ECM in the acceptance of cloud-based academic system.",This research aims to identify factors influencing user perceptions of cloud-based academic information system and the relationships among different factors.,"The research integrated Extended TAM and ECM, subsequently processing data obtained from 261 respondents using Structural Equation Modeling-Partial Least Squares (SEM-PLS). The perceptions proposed included Facilitating Condition (FC), Perceived Usefulness (PU), Perceived Ease of Use (PEOU), Confirmation (CM), Satisfaction (SF), and Behavioral Intention to Use (BIU).","Based on the data processing carried out, the results were PEOU against BIU (H1, êžµ=0.256, p=0.001), PU against BIU (H2, êžµ=0.200, p=0.007), and SF against BIU (H3, êžµ=0.499, p= 0.000). Furthermore, it also comprised FC against PEOU (H4, êžµ=0.839, p=0.000), PU (H5, êžµ=0.849, p=0.000) and SF (H6, êžµ=0.294, p=0.000), as well as CM against SF (H7, êžµ=0.358, p=0.000) and PU against SF (H8, êžµ=0.325, p=0.000). These results showed that each proposed construct significantly influenced behavioral intentions to use cloud-based academic information system.","The results showed that each factor proposed in the construct significantly influenced user intentions to use cloud-based academic system. Consequently, the most influential drivers in using cloud-based academic system were SF, PU, PEOU, and FC.","Acceptance, Behavioral Intention, Cloud-Based Academic System, Expectation","Raju Wandira, Ahmad Fauzi, Faisal Nurahim","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/50789/29041,Analysis of Factors Influencing Behavioral Intention to Use Cloud-Based Academic Information System Using Extended Technology Acceptance Model (TAM) and Expectation-Confirmation Model (ECM)
"Internet topology is studied more by researchers on global internet coverage compared to limited regional coverage. However, some studies also see the importance of studying internet topology in certain countries or regions. The internet performance of a country or region can be influenced by the structure of its internet topology, and research on internet topology can contribute to improving internet topology in that region.","This research initially carried out internet topology mapping in a limited region, then used experience from each step in conducting internet topology mapping to create a comprehensive guide on procedures for internet topology mapping at the autonomous system (AS) level in certain regional areas.","Internet topology mapping is carried out by inferring relationships between ASes through an inference process against border gateway protocol (BGP) table dumps, while the internet topology mapping method chosen is passive mapping.",The entire series of steps involved in the regional internet topology mapping process have been successfully outlined in a detailed guide as a result of this research. Evaluation of the research results was carried out by implementing the application of this comprehensive guide and also through assessments from experts in related fields regarding the results of this research. The results of both evaluations showed that the research results were appropriate.,"This research provides a comprehensive guide for mapping internet topology in specific regional areas, consisting of nine sequential steps grouped into four major steps. This guide can be used to assist similar research efforts in other regional areas as well as provide further knowledge regarding studies in this field. This research is different from previous studies, because it provides a comprehensive guide to the internet topology mapping process, which has not been available in previous studies.","Internet Topology Mapping, Regional Internet Topology, Autonomous System, Border Gateway Protocol","Timotius Witono, Setiadi Yazid, Yudho Giri Sucahyo","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/53708/29042,The Art of Internet Mapping: A Comprehensive Guide to Regional Internet Topology Mapping at the Autonomous System Level
"To understand land transformation at the local level, there is a need to develop new strategies appropriate for land management policies and practices. In various geographical research, ground coverage plays an important role particularly in planning, physical geography explorations, environmental analysis, and sustainable planning.","The research aimed to analyze land cover using vegetation density data collected through remote sensing. Specifically, the data assisted in land processing and land cover classification based on vegetation density.","Before classification, image was preprocessed using Convolutional Neural Network (CNN) architecture's ResNet 50 and DenseNet 121 feature extraction methods. Furthermore, several algorithm were used, namely Decision Tree, Naí¯ve Bayes, K-Nearest Neighbor, Random Forest, Support Vector Machine (SVM), and eXtreme Gradient Boosting (XGBoost).","Classification comparison between methods showed that using CNN method obtained better results than machine learning. By using CNN architecture for feature extraction, SVM method, which adopted ResNet-50 for feature extraction, achieved an impressive accuracy of 85%. Similarly using SVM method with DenseNet121 feature extraction led to a performance of 81%.","Based on results comparing CNN and machine learning, ResNet 50 architecture performed the best, achieving a result of 92%. Meanwhile, SVM performed better than other machine learning method, achieving an 84% accuracy rate with ResNet-50 feature extraction. XGBoost came next, with an 82% accuracy rate using the same ResNet-50 feature extraction. Finally, SVM and XGBoost produced the best results for feature extraction using DenseNet-121, with an accuracy rate of 81%.","Classification, CNN Architecture, Feature Extraction, Ground Coverage, Vegetation Density.","Erika Maulidiya, Chastine Fatichah, Nanik Suciati, Yuslena Sari","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/51527/29046,Ground Coverage Classification in UAV Image Using a Convolutional Neural Network Feature Map
Stemming is significantly essential in natural language processing (NLP) due to the ability to minimize word variations to fundamental forms. This procedure facilitates the analysis of textual data and enhances the precision of classification and information retrieval.,"Previous related systematic literature review has not been conducted on stemming and lemmatization in regional languages in Indonesia. Therefore, this study aims to conduct a systematic literature review to capture the latest developments in stemming and lemmatization in regional languages in Indonesia.","This study was carried out using Kitchenham method, analyzing 35 studies extracted from 740, which were obtained from Scopus, IEEE Xplore, and Google Scholar, and published between 2014 and 2023.","The results showed that study trends in stemming possessed the potential to continue developing every year. Additionally, the main element in stemming and lemmatization studies was found to be the availability of digital dictionaries in regional languages. This was because greater number of basic vocabularies contributed more positively to stemming or lemmatization. The availability of word morphology information in regional languages would be constructive for making rule-based stemmers. Meanwhile, corpus-based stemming and lemmatization studies could only be conducted for languages with a large corpus to ensure there were various affixed words to process.","Based on SLR study, stemming and lemmatization in regional languages in Indonesia developed significantly from 2014 to 2023. The two main strategies applied included using available digital dictionaries and language morphology information. However, the main challenges encountered were the limited number of vocabulary words in the dictionaries and testing various rule-based methods.","Lemmatization, Morphology, Rule-based, Stemming, Systematic Literature Review.","Zaenal Abidin, Akmal Junaidi, Wamiliana","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/50341/29047,Text Stemming and Lemmatization of Regional Languages in Indonesia: A Systematic Literature Review
"Plant diseases affect agricultural output, quality and profitability, making them serious obstacles for agriculture. It is essential to detect diseases early in order to reduce losses while retaining sustainable practices. Plant disease detection has benefited greatly from the use of computer vision and deep learning in recent years because of their outstanding precision and computing capability.","In this paper, we intend to investigate the role of deep learning in computer vision for plant disease detection while looking into how these techniques address complex disease identification problems. A variety of deep learning architectures were reviewed, and the contribution of frameworks such as Tensorflow, Keras, Caffe and PyTorch to the researchers' model construction was studied as well. Additionally, the usage of open repositories such as PlantVillage and Kaggle along with the customized datasets were discussed.","We gathered the most recent developments in deep learning techniques for leaf disease detection through a systematic literature review of research papers published over the past decade, using reputable academic databases like Scopus and Web of Science, following the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) method for guidance.","This study finds that researchers consistently enhance existing deep learning architectures to improve prediction accuracy in plant disease detection, often by introducing novel architectures and employing transfer learning methods. Frameworks like TensorFlow, Keras, Caffe, and PyTorch are widely favored for their efficiency in development. Additionally, most studies opt for public datasets such as PlantVillage, Kaggle, and ImageNet, which offer an abundance of labelled data for training and testing deep learning models.","While no singular ‘best' model emerges, the adaptability of deep learning and computer vision demonstrates the dynamic nature of plant disease recognition area, and this paper provides a comprehensive overview of deep learning's transformative impact on plant disease recognition by bringing together information from different studies.","Deep learning, Computer vision, Plant disease, Systematic literature review","Nik Afiqah N. Ahmad Yani, Shukor Sanim Mohd Fauzi, Nurul Ain Mohd Zaki, Mohammad Hafiz Ismail","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/52502/29048,A Systematic Literature Review on Leaf Disease Recognition Using Computer Vision and Deep Learning Approach
"Motorcycle taxi (MCT) is a form of widely used informal transportation. Over the last few years, MCT has developed from conventional public transportation into a modern business using digital technology. In these services, digitalization has received a positive response from the public and the increasing number creates many challenges. However, there is a gap in the discussion of new service models for shared mobility transportation.","This research aimed to analyze MCT, providing an overview of the services as informal transportation.","Bibliometric analysis was used to evaluate 366 articles published in the Scopus database between 2011-2023. In addition, annual publications and citation topics, most productive sources and influential articles, relevant affiliations, productive countries, location research, main topics, and future research options were identified.","Frequently occurring topics were reported with past and present academic developments related to MCT services. Based on the publication themes, the main topics were arranged into five clusters, namely (a) the development of more sustainable transportation services, (b) environmental and health impact, (c) road safety, (d) risky behaviors or risk factors as MCT drivers, and (e) utilization of MCT for medical or health services. Meanwhile, the research topics comprised themes about travel behavior, health, safety-security, customer satisfaction, and advanced mobility topics.","This research increased knowledge about main topics, trends and future analysis options in MCT. The academic developments served as a guide to future topics.","Motorcycle taxi, public transportation, informal transportation, shared mobility, bibliometric analysis","Dyah Herawatie, Nurhadi Siswanto, Erwin Widodo","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/52724/29049,Motorcycle Taxi in Shared Mobility and Informal Transportation: A Bibliometric Analysis
"Amidst a rapidly evolving digital landscape that accelerates the flow of information, higher education institutions face the unique challenge of managing vast and dynamic knowledge resources. This research delves into the motivations and innovative solutions for developing Knowledge Management Systems (KMS), which is key to optimizing knowledge resource utilization and enhancing academic collaboration.","This research provides a comprehensive mapping of problems and solutions for developing university knowledge management systems based on previous research. Not only that, but the results of this study also suggest three future research studies that can be adopted.","This study used the Kitchenham systematic literature review method. The author uses literature in the form of journals and conference proceedings published from 2019 to 2023. Twenty-three articles were used for this study from 5 databases, such as ACM, ProQuest, Scopus, Taylor & Francis, and IEEE Xplore.","This study reveals research trends in knowledge management systems within higher education, examining aspects such as country, data collection methods, research methodologies, and theoretical frameworks. The main problems motivating the development of KMS are identified and categorized based on the people, process, and technology framework. In overcoming these problems in the university business process, there are several alternative solutions, both in the form of requirements and systems. Thus, the results of this study seek to provide guidelines for future research to adopt alternative solutions from this research and develop KMS to provide new solutions.","This study advances knowledge about various trends, motivations, requirements, and system solutions to address KMS problems in higher education. The authors' research results can add valuable insights to improve our understanding of the development of KMS in universities in various countries. Future research can identify new potential in KMS in business processes currently running in a university with appropriate methodologies.","Knowledge management system, higher education, systematic literature review, problem, solution","Nandhita Zefania Maharani, Shabrina Salsabila Kurniawan, Dana Indra Sensuse, Imairi Eitiveni, Deden Sumirat Hidayat, Erisva Hakiki Purwaningsih","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/54976/29052,Motivations and Potential Solutions in Developing a Knowledge Management System for Organization at Higher Education: A Systematic Literature Review
"The most commonly used mathematical model for analyzing disease spread is the Susceptible-Exposed-Infected-Recovered (SEIR) model. Moreover, the dynamics of the SEIR model depend on several factors, such as the parameter values.","This study aimed to compare two optimization methods, namely genetic algorithm (GA) and particle swarm optimization (PSO), in estimating the SEIR model parameter values, such as the infection, transition, recovery, and death rates.","GA and PSO algorithms were compared to estimate parameter values of the SEIR model. The fitness value was calculated from the error between the actual data of cumulative positive COVID-19 cases and the numerical data of cases from the solution of the SEIR COVID-19 model. Furthermore, the numerical solution of the COVID-19 model was calculated using the fourth-order Runge-Kutta algorithm (RK-4), while the actual data were obtained from the cumulative dataset of positive COVID-19 cases in the province of Jakarta, Indonesia. Two datasets were then used to compare the success of each algorithm, namely, Dataset 1, representing the initial interval for the spread of COVID-19, and Dataset 2, representing an interval where there was a high increase in COVID-19 cases.","Four parameters were estimated, namely the infection rate, transition rate, recovery rate, and death rate, due to disease. In Dataset 1, the smallest error of GA method, namely 8.9%, occurred when the value of , while the numerical error of PSO was 7.5%. In Dataset 2, the smallest error of GA method, namely 31.21%, occurred when , while the numerical error of PSO was 3.46%.","Based on the parameter estimation results for Datasets 1 and 2, PSO had better fitting results than GA. This showed PSO was more robust to the provided datasets and could better adapt to the trends of the COVID-19 epidemic.","Genetic algorithm, Particle swarm optimization, SEIR model, COVID-19, Parameter estimation.","Aminatus Sa'adah, Ayomi Sasmito, Asysta Amalia Pasaribu","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/55061/29053,Comparison of Genetic Algorithm (GA) and Particle Swarm Optimization (PSO) for Estimating the Susceptible-Exposed-Infected-Recovered (SEIR) Model Parameter Values
"Hepatitis is a contagious inflammatory disease of the liver and is a public health problem because it is easily transmitted. The main factors causing hepatitis are viral infections, disease complications, alcohol, autoimmune diseases, and drug effects. Some hepatitis variants such as B, C, and D can also cause liver cancer if left untreated.",This research aims to determine the effect of Backward Elimination feature selection on the performance of hepatitis disease identification compared to cases where Backward Elimination is not applied.,"XGBoost classification, capable of handling machine learning problems, was utilized. Additionally, Backward Elimination was used as a featured selection to increase accuracy by reducing the number of less important features in the data classification process.","The results for training XGBoost model with Backward Elimination, and applying Random Search for hyperparameter optimization, achieved an accuracy of 98.958% at 0.64 seconds. This performance was better than using Bayesian search, which produced the same accuracy of 98.958% but required a longer training time of 0.70 seconds.","The use of features obtained from Backward Elimination process as well as the use of feature average values for missing value treatment, produced an accuracy of 98.958%.the precision in training XGBoost model with hyperparameter Bayesian search achieved accuracy, recall, and F1 score of 98.934%, 98.934%, and 98.934%, respectively. Consequently, the use of Backward Elimination in XGBoost model led to faster training, improved accuracy, and decreased overfitting.","Hepatitis, Backward Elimination, XGBoost, Bayesian Search, Random Search","Jasman Pardede, Desita Nurrohmah","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48274/29054,Hepatitis Identification using Backward Elimination and Extreme Gradient Boosting Methods
"In 2020, the World Health Organization (WHO) estimated that 466 million people worldwide are affected by hearing loss, with 34 million of them being children. Indonesia is identified as one of the four Asian countries with a high prevalence of hearing loss, specifically at 4.6%. Previous research was conducted to identify diseases related to the Ear, Nose, and Throat, utilizing the certainty factor method with a test accuracy rate of 46.54%. The novelty of this research lies in the combination of two methods, the use of genetic algorithms for optimization and learning vector quantization to improve the level of accuracy for early identification of Ear, Nose, and Throat diseases.","This research aims to produce a hybrid model between the genetic algorithm and the learning vector quantization neural network to be able to identify Ear, Nose, and Throat diseases with mild symptoms to improve accuracy.","Implementing a 90:10 ratio means that 90% (186 data) of the data from the initial sequence is assigned for training purposes, while the remaining 10% (21 data) is allocated for testing. The procedural stages of genetic algorithm-learning vector quantization are population initialization, crossover, mutation, evaluation, selection elitism, and learning vector quantization training.Results The optimum hybrid genetic algorithm-learning vector quantization model for early identification of Ear, Nose, and Throat diseases was obtained with an accuracy of 82.12%. The parameter values with the population size 10, cr 0.9, mr 0.1, maximum epoch of 5000, error goal of 0.01, and learning rate (alpha) of 0.5. Better accuracy was obtained compared to backpropagation (64%), certainty factor 46.54%), and radial basic function (72%).",,"Experiments in this research, successed identifying models by combining genetic algorithm-learning vector quantization to perform the early identification of Ear, Nose, and Throat diseases. For further research, it's very challenging to develop a model that automatically adapts the bandwidth parameters of the weighting functions during trainin","Early Identification, Ear-Nose-Throat Diseases, Genetic Algorithm, Learning Vector Quantization","Cynthia Hayat, Iwan Aang Soenandi","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/46871/28046,"Hybrid Architecture Model of Genetic Algorithm and Learning Vector Quantization Neural Network for Early Identification of Ear, Nose, and Throat Diseases"
