Background,Objective,Methods,Results,Conclusion,Keywords,Authors,Year,PDF Link,Title
"['QRIS', 'TRAM', 'Trust']","['QRIS', 'TRAM', 'Trust']",['QRIS'],"['model', 'influence', 'optimism', '%', 'ease', 'innovation', 'trust', 'usefulness', 'use', 'adoption', 'hypotheses', 'insecurity', 'results', 'discomfort', 'study']","['perceived', 'optimism', 'guides', 'having', 'providers', 'operations', 'ease', 'trust', 'usefulness', 'business', 'use', 'adoption', 'businesses', 'institutions', 'micro', 'discomfort', 'importance', 'study', 'policymakers']","Micro Small and Medium Enterprises, QRIS, TRAM, Trust","Adisthy Shabrina Nurqamarani, Sarah Fadilla, Ari Juliana","October 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/52207/29450,"Revolutionizing Payment Systems: The Integration of TRAM and Trust in QRIS Adoption for Micro, Small, and Medium Enterprises in Indonesia"
"['User Reviews', 'Aspect-Based Sentiment Analysis (ABSA)', 'Sentiment Analysis']","['User Reviews', 'Topic Modeling', 'Generative Artificial Intelligence (GenAI)']",['User Reviews'],"['model', '%', 'results', 'accuracy', 'analysis', 'sentiment', 'sentiment analysis']","['monitoring', 'reviews', 'user', 'using', 'sentiment', 'research', 'established', 'feedback', 'experience', 'incorporate', 'understanding', 'models', 'analyzing', 'expand', 'app', 'time', 'categories', 'framework', 'provided', 'method']","User Reviews, Aspect-Based Sentiment Analysis (ABSA), Sentiment Analysis, Topic Modeling, Generative Artificial Intelligence (GenAI)","Viktor Handrianus Pranatawijaya, Nova Noor Kamala Sari, Resha Ananda Rahman, Efrans Christian, Septian Geges","October 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/56503/30209,Unveiling User Sentiment: Aspect-Based Analysis and Topic Modeling of Ride-Hailing and Google Play App Reviews
['Islamic Lifestyle Digital Application'],"['Behavioral Intention', 'Satisfaction', 'Trust', 'UTAUT']",[],"['expectations', 'effect', 'influence', 'social influence', 'results', 'business', 'users', 'literacy', 'conditions', 'effort', 'expectancy', 'freemium', 'services', 'performance']","['signified', 'research', 'users', 'level', 'effect', 'freemium', 'context', 'trust', 'services', 'variables', 'benefits', 'intention', 'have', 'results', 'framework', 'adopt']","Behavioral Intention, Digital Literacy, Islamic Lifestyle Digital Application, Satisfaction, Trust, UTAUT","Yan Putra Timur, Ririn Tri Ratnasari, Anwar Allah Pitchay, Dyah Permata Sari, Muhammad Rifqi","October 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/58327/30210,Factors Influencing Behavioral Intention to Apply Freemium Services in Islamic Lifestyle Digital Applications Using Unified Theory of Acceptance and Use of Technology (UTAUT)
"['Human Resource Management System', 'Challenges', 'Technology Trends', 'Systematic Literature Review']","['Challenges', 'Technology Trends']",['Systematic Literature Review'],"['infrastructure', 'blockchain', 'table', 'system', 'stakeholder', 'development', 'cybersecurity', 'organizations', 'trends', 'skills', 'technology', 'technologies', 'system integration', 'lack', 'utilization', 'opportunities', 'change', 'result', 'challenges', 'training', 'form', 'issues', 'resistance', 'integration', 'methods', 'mapping', 'data', 'management', 'security', 'capabilities', 'recommendations', 'data security', 'support']","['summarizing', 'research', 'problem', 'compilation', 'offer', 'presentations', 'used', 'trends', 'complexities', 'technology', 'innovation', 'expected', 'trend', 'contribute', 'review', 'develop', 'insights', 'emergence', 'directions', 'exploration', 'overview', 'results', 'implementation', 'nexus', 'perspective', 'identification', 'area', 'method']","Human Resource Management System, Challenges, Technology Trends, Systematic Literature Review","Rahma Destriani, Raihansyah Yoga Adhitama, Dana Indra Sensuse, Deden Sumirat Hidayat, Erisva Hakiki Purwaningsih","October 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/54526/30211,Challenges and Technology Trends in Implementing a Human Resource Management System: A Systematic Literature Review
"['Post-Pandemic', 'COVID-19', 'Customer Behavior', 'Video Advertising']","['Post-Pandemic', 'Customer Behavior']",[],"['hypotheses', 'customer behavior', 'behavior', 'influences', 'customer', 'changes', 'result']","['affected', 'experiences', 'tool', 'response', 'marketing', '%', 'build', 'analysis', 'factors', 'identified', 'investigate', 'variables', 'caused', 'Based', 'understanding', 'changes', 'decrease', 'exploration', 'results', 'customer', 'led', 'pandemic']","Post-Pandemic, COVID-19, Customer Behavior, Video Advertising","Surjandy Surjandy, Cadelina Cassandra","October 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/58818/30212,Changes in Customer Behavior Towards Video Advertising Post-Pandemic
"['Volcanic Tsunamis', 'Early Warning']","['Machine Learning', 'Volcanic Tsunamis', 'Early Warning']","['Classification', 'Decision Tree']","['model', 'precision', 'performance', 'Score', '%', 'Warning', 'classification', 'instances', 'gauges', 'classes', 'results', 'accuracy', 'average']","['model', 'exploring', 'performance', 'Warning', 'improve', 'scenarios', 'parameters', 'simulating', 'contribute', 'achieved', 'developing', 'dataset', 'volume', 'balance', 'angle', 'classification', 'class', 'dip', 'collapse', 'including']","Machine Learning, Classification, Volcanic Tsunamis, Early Warning, Decision Tree","Elmo Juanara, Chi Yung Lam","October 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/60262/30213,Classification of Non-Seismic Tsunami Early Warning Level Using Decision Tree Algorithm
"['Forest Fire', 'Disaster']","['Forest Fire', 'Long Short-Term Memory', 'LSTM']","['LSTM', 'Vader', 'SentiWordnet']","['model', '%', 'layers', 'fires', 'scores', 'evaluation', 'precision', 'improvement', 'recall', 'method', 'forest fires', 'forest', 'performance', 'lexicon', 'sentiments']","['model', 'tweets', 'research', 'based', 'integrate', 'used', 'related', 'analyse', 'fire', 'required', 'lexicon', 'develop', 'models', 'methods', 'rule', 'data', 'results', 'forest']","Forest Fire, Disaster, Long Short-Term Memory, LSTM, Vader, SentiWordnet","Warih Maharani, Hanita Daud, Noryanti Muhammad, Evizal Abdul Kadir","October 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/54548/30214,Leveraging Social Media Data for Forest Fires Sentiment Classification: A Data-Driven Method
['Business Intelligence'],['Decision-Making Performance'],['Bibliometrics'],"['decision', 'studies', 'investigations', 'field study', 'decision theory', 'focus', 'field', 'shift', 'boundaries', 'theory', 'results', 'scholars', 'years', 'study']","['competencies', 'quality', 'decision', 'studies', 'need', 'improve', 'application', 'role', 'change', 'oriented', 'focusing', 'is', 'use', 'variables', 'tools', 'Based', 'emphasis', 'tend', 'results']","Business Intelligence, Decision-Making Performance, Decision Quality, Bibliometrics, R-tool.","Abdessamad Charkaoui, Siham Jabraoui","October 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/54770/30215,20 Years of Scientific Study on Business Intelligence and Decision-Making Performance: A Bibliometric Analysis
"['Acceptance', 'Cloud-Based Academic System', 'Expectation']",[],['Behavioral Intention'],"['intentions', 'data', 'cloud', 'information', 'results', 'construct', 'system', 'information system', 'processing']","['intentions', 'results', 'construct', 'use', 'system', 'user', 'using', 'proposed', 'drivers', 'factor', 'based', 'cloud']","Acceptance, Behavioral Intention, Cloud-Based Academic System, Expectation","Raju Wandira, Ahmad Fauzi, Faisal Nurahim","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/50789/29041,Analysis of Factors Influencing Behavioral Intention to Use Cloud-Based Academic Information System Using Extended Technology Acceptance Model (TAM) and Expectation-Confirmation Model (ECM)
[],"['Internet Topology Mapping', 'Autonomous System']","['Internet Topology Mapping', 'Border Gateway Protocol']","['assessments', 'topology', 'research', 'Evaluation', 'application', 'result', 'fields', 'experts', 'internet topology', 'steps', 'mapping', 'results', 'process', 'series', 'internet', 'guide']","['knowledge', 'topology', 'studies', 'research', 'used', 'provide', 'provides', 'areas', 'field', 'steps', 'mapping', 'assist', 'process', 'internet', 'guide']","Internet Topology Mapping, Regional Internet Topology, Autonomous System, Border Gateway Protocol","Timotius Witono, Setiadi Yazid, Yudho Giri Sucahyo","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/53708/29042,The Art of Internet Mapping: A Comprehensive Guide to Regional Internet Topology Mapping at the Autonomous System Level
